timestamp,node,raw_line
06:42:30.163,S1,[TX] S1:DATA:21
06:42:30.184,S1,[IGNORE] POLL:2
06:42:30.196,MASTER,[RX] S1:DATA:21 | RSSI: -52 dBm | SNR: 9.50 dB
06:42:30.203,MASTER,[TX] POLL:2
06:42:30.231,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 9.00 dB | RX#: 21
06:42:30.232,S1,[IGNORE] S2:DATA:21
06:42:30.242,S2,[TX] S2:DATA:21
06:42:30.276,MASTER,[RX] S2:DATA:21 | RSSI: -65 dBm | SNR: 10.00 dB
06:42:30.309,MASTER,--- STATISTIK ---
06:42:30.343,MASTER,S1: OK=21 | FAIL=0 | Data: 21
06:42:30.376,MASTER,S2: OK=21 | FAIL=0 | Data: 21
06:42:30.377,MASTER,Durasi siklus: 166 ms
06:42:30.415,MASTER,========================================
06:42:30.906,S2,[IGNORE] POLL:1
06:42:30.912,MASTER,========================================
06:42:30.913,MASTER,=== CYCLE 22 ===
06:42:30.923,MASTER,[TX] POLL:1
06:42:30.954,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.25 dB | RX#: 22
06:42:30.955,S2,[IGNORE] S1:DATA:22
06:42:30.964,S1,[TX] S1:DATA:22
06:42:30.985,S1,[IGNORE] POLL:2
06:42:31.001,MASTER,[RX] S1:DATA:22 | RSSI: -53 dBm | SNR: 9.50 dB
06:42:31.002,MASTER,[TX] POLL:2
06:42:31.032,S2,[RX] POLL:2 | RSSI: -70 dBm | SNR: 8.75 dB | RX#: 22
06:42:31.033,S1,[IGNORE] S2:DATA:22
06:42:31.043,S2,[TX] S2:DATA:22
06:42:31.077,MASTER,[RX] S2:DATA:22 | RSSI: -65 dBm | SNR: 9.25 dB
06:42:31.110,MASTER,--- STATISTIK ---
06:42:31.143,MASTER,S1: OK=22 | FAIL=0 | Data: 22
06:42:31.176,MASTER,S2: OK=22 | FAIL=0 | Data: 22
06:42:31.177,MASTER,Durasi siklus: 166 ms
06:42:31.214,MASTER,========================================
06:42:31.706,S2,[IGNORE] POLL:1
06:42:31.712,MASTER,========================================
06:42:31.713,MASTER,=== CYCLE 23 ===
06:42:31.723,MASTER,[TX] POLL:1
06:42:31.753,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.00 dB | RX#: 23
06:42:31.754,S2,[IGNORE] S1:DATA:23
06:42:31.764,S1,[TX] S1:DATA:23
06:42:31.784,S1,[IGNORE] POLL:2
06:42:31.799,MASTER,[RX] S1:DATA:23 | RSSI: -53 dBm | SNR: 9.50 dB
06:42:31.799,MASTER,[TX] POLL:2
06:42:31.832,S2,[RX] POLL:2 | RSSI: -70 dBm | SNR: 9.25 dB | RX#: 23
06:42:31.833,S1,[IGNORE] S2:DATA:23
06:42:31.843,S2,[TX] S2:DATA:23
06:42:31.876,MASTER,[RX] S2:DATA:23 | RSSI: -65 dBm | SNR: 9.00 dB
06:42:31.910,MASTER,--- STATISTIK ---
06:42:31.943,MASTER,S1: OK=23 | FAIL=0 | Data: 23
06:42:31.976,MASTER,S2: OK=23 | FAIL=0 | Data: 23
06:42:31.977,MASTER,Durasi siklus: 166 ms
06:42:32.014,MASTER,========================================
06:42:32.505,S2,[IGNORE] POLL:1
06:42:32.512,MASTER,========================================
